fileName,address,fTime,lTime
move1,65:72:c4:8d:8f:64,0.0,901.035262
move1,79:7e:38:89:ab:4f,901.611618,947.416791
move1,58:fd:d2:1d:88:9b,949.22863,1718.527068
move1,6c:d5:22:c7:f7:70,1720.699636,2440.332118
move1,71:a1:bf:58:1a:ff,2442.445056,3257.011352
move1,7e:d0:46:8c:24:3d,3260.566362,3585.528148
move2,6e:7d:16:c2:ce:73,0.0,690.218867
move2,55:10:ea:b0:6b:4d,693.846426,1511.401018
move2,69:bc:4c:ef:eb:a4,1514.549758,2279.253554
move2,43:ab:72:13:50:d6,2280.396236,3045.242272
move2,7e:fd:ed:40:e6:95,3048.203646,3584.104019
move3,4c:69:a2:4b:75:9a,0.0,815.178222
move3,6f:de:35:29:d1:ea,817.045612,1696.71835
move3,73:17:76:90:71:16,1700.470902,2495.533912
move3,40:ff:26:e8:87:3b,2499.7689,3304.799263
move3,63:2e:16:81:84:f9,3308.364395,3580.291765
move4,64:32:0a:ae:7c:a2,0.0,743.713051
move4,74:0b:75:23:82:5f,747.000345,1498.75847
move4,7f:54:fd:ba:cf:19,1501.5981,2333.930666
move4,7d:ae:67:19:51:03,2336.352955,3161.936044
move4,4d:69:aa:69:53:1f,3164.371104,3579.627109
move5,5a:bc:5d:6a:e6:ba,0.0,736.227614
move5,71:b8:32:1b:64:22,740.222216,1575.603526
move5,7f:a9:2a:14:12:f4,1580.34851,2293.658555
move5,78:f4:32:4c:9c:80,2297.815978,3115.556669
move5,69:f1:4f:bf:2d:67,3118.498007,3208.104905
move5,4b:af:22:01:c4:fc,3210.748745,3583.326706
move6,40:9e:d3:34:72:85,0.0,737.415473
move6,72:f3:00:18:24:2d,738.417993,1540.865006
move6,74:bd:6d:a4:14:1c,1543.874948,2278.424074
move6,7f:0c:de:fc:20:e2,2279.909926,3027.65867
move6,52:64:ec:9f:98:7b,3029.451155,3585.58714
move7,61:ee:dd:c0:94:fc,0.0,700.820622
move7,7d:30:ab:4a:6e:38,702.926447,1479.060727
move7,6c:58:22:1b:66:87,1481.348407,2358.428594
move7,43:7a:a0:20:46:91,2360.254603,3109.894824
move7,7c:26:c5:db:ff:67,3111.768569,3582.799673
move8,4b:57:97:06:cc:ea,0.0,771.370228
move8,6d:54:19:ec:27:60,773.71537,1584.720732
move8,5b:a9:c7:19:a8:70,1587.391907,2101.339985
move8,5f:42:f7:92:20:47,2103.770098,2821.742037
move8,47:73:bb:6b:87:fe,2825.183347,3579.622856
move9,4c:2d:b8:5f:8c:65,0.0,741.971777
move9,4e:d9:80:cf:b2:ca,746.991593,1560.507217
move9,75:64:5a:1f:da:0a,1565.187334,2286.492094
move9,41:09:3a:35:83:01,2290.21943,3054.064981
move9,62:bd:85:84:12:60,3055.506025,3585.006927
move10,47:be:45:ed:ae:ee,0.0,763.522211
move10,60:cb:08:fe:06:1b,767.259813,1507.563748
move10,7d:99:72:97:93:f9,1509.480018,2098.543586
move10,7f:9f:71:ad:34:52,2102.092881,2974.092263
move10,6f:97:52:e2:72:d0,2976.496626,3585.885465
move11,55:a9:50:16:e7:9c,0.0,870.543951
move11,70:39:88:34:50:d5,872.965183,1586.880367
move11,7d:6e:ff:ee:45:52,1589.881757,2376.837639
move11,44:e5:08:5f:71:77,2379.911436,3151.949776
move11,7f:f6:89:df:26:d5,3154.486925,3581.553531
move12,73:d9:60:9b:43:7f,0.0,791.933069
move12,7e:2a:7c:a0:05:4e,795.074224,1529.344175
move12,6d:64:83:16:cf:d8,1533.360654,2326.199363
move12,6e:ea:4f:c9:3f:64,2328.182019,3128.950832
move12,75:07:f3:55:4a:ba,3131.439671,3584.39953
move13,40:00:2a:d4:81:95,0.0,696.184629
move13,7d:4a:ad:f4:b1:19,698.301333,1519.788813
move13,42:b5:96:d5:0d:76,1521.76508,2263.565656
move13,66:fe:78:47:45:f9,2266.235743,3096.246517
move13,5c:6b:c6:3b:e2:e8,3097.326522,3581.706331
move14,71:db:49:19:c5:a4,0.0,723.557577
move14,56:96:56:5f:46:90,727.037689,1453.033047
move14,64:31:d2:d9:10:e3,1454.904196,2088.585205
move14,7d:00:82:53:61:25,2090.250211,2869.394952
move14,70:08:e6:e0:5f:50,2872.978811,3585.854774
move15,55:f3:1b:86:8c:1e,0.0,614.585465
move15,73:b4:28:47:8e:7d,616.460556,1372.957094
move15,5d:0c:96:b8:21:0e,1375.835898,2089.651745
move15,77:81:73:0b:c6:16,2090.783698,2787.480973
move15,52:14:ea:df:22:de,2790.822325,3582.20091
move16,46:56:e7:66:90:01,0.0,735.767886
move16,44:e7:b6:9d:c5:20,739.13833,1549.999215
move16,5b:d1:64:18:6d:3d,1553.647168,2351.534726
move16,39:a0:8a:34:ca:27,2355.999456,3586.976652
move17,0f:c3:bc:75:5c:f0,0.0,779.918235
move17,21:87:69:4c:ae:f3,780.559134,1998.684352
move17,3c:94:9d:65:68:1a,2001.630656,2150.354472
move18,42:13:9d:1c:14:1c,0.0,737.289929
move18,57:46:37:52:09:d0,740.482354,1537.342497
move18,7a:67:a2:06:08:a2,1541.190112,2236.937188
move18,6a:19:dc:ac:7d:f3,2239.261009,2961.298917
move18,7d:02:e1:0a:64:e9,2965.747575,3585.312136
move19,6b:7a:c9:80:20:53,0.0,681.846286
move19,79:a8:35:21:2b:87,684.005189,1523.991869
move19,44:03:ac:c0:e3:54,1527.467873,2262.509198
move19,78:69:2e:de:ae:54,2265.766666,3044.114296
move19,5c:df:5a:a3:60:64,3045.953897,3587.3455
move20,6e:97:ad:9a:46:28,0.0,739.163121
move20,53:8f:77:a6:56:b2,741.665704,1592.470904
move20,6f:c0:e3:59:36:82,1596.391834,2379.788528
move20,53:29:e6:e3:65:69,2380.789749,3209.49233
move20,4f:1b:09:57:d0:d2,3210.472266,3584.332051
