time,rssi
1720.699636,-78
1721.559841,-81
1722.133531,-85
1722.993495,-82
1724.190374,-84
1724.715895,-80
1725.569767,-85
1726.427173,-85
1727.289719,-81
1729.722891,-74
1730.187186,-78
1730.442138,-80
1731.591029,-81
1732.734742,-74
1733.425685,-82
1733.605128,-81
1734.561493,-76
1734.751019,-80
1735.326054,-77
1736.540491,-80
1736.752207,-77
1737.607274,-78
1738.643208,-80
1738.743929,-87
1739.89615,-84
1740.475556,-75
1740.76105,-84
1741.913597,-77
1742.777416,-81
1744.091212,-82
1744.799387,-78
1745.71143,-83
1749.082376,-84
1749.738569,-82
1751.487162,-85
1752.531518,-84
1752.806063,-83
1753.951081,-86
1754.807745,-81
1755.956145,-79
1756.236176,-80
1757.664993,-69
1757.948963,-75
1759.385308,-73
